date,rating,userName,title,review
2024-12-14 00:19:13-07:00,1,xjcjndndnsnckskd,The Eraser Feature,This is a bit explanatory I used this app just for the erasing feature ( 1st according to google on erasing people ) so I installed it and erased the person the I found a glitch like this taking over the person I thought an A.I will show as if no one is there in the background but no a glitch did.
2024-12-13 13:39:38-07:00,5,mary la loca,Mary la loca 😂,Súper lindas quedan las fotos me encantan
2024-12-13 04:58:18-07:00,5,konamoni,use camera,nice
2024-12-12 18:35:49-07:00,5,flyAPP41*,Never disappoints,That is all
2024-12-11 08:12:46-07:00,2,Saku Doll,Terrible,"This app lacks the most basic features, no long straight hair without bangs, no platinum blonde hair colors, and more. I only use the beauty features so I can’t comment on the rest, but the beauty features, especially when it comes to hair needs work.
Update: the developer response makes no sense. I have the yearly subscription and it lacks the basic features I mentioned."
2024-12-10 04:44:46-07:00,5,CMWhite24,Great photo editing app,I can do anything I’ve ever need with this app
2024-12-08 12:08:09-07:00,5,Nikytayayi,Súper,"Fácil de usar , muy divertída , la app premium debe funcionar mejor"
2024-11-30 07:09:17-07:00,1,Mostafa.pmc12,این برنامه پولی یه و اصلا رایگان نیست,این برنامه پولی یه و اصلا رایگان نیست
2024-11-29 18:06:00-07:00,1,staticssound,DONT DO IT!!!!,This app is absolutely terrible. Please don’t spend your money on it especially if you are looking to use the face swap feature. Also app developer people please don’t waste time replying to my review unless you have  completely fixed the issues with the app  that you charge people to use.
2024-11-29 15:30:42-07:00,5,Axelyiker,Me gusta mucho esta cámara,Gracias Adan
2024-11-25 11:35:59-07:00,1,Gaysha Harris,Very upset,I’m not pleased with this app.  I tried to cancel this the first day I downloaded it.  But they have the cancellation set for next year and will not refund me
2024-11-20 22:39:58-07:00,5,Dc669,Best,Best app for all your editing works. Feels so safe and amazing also simple to use.
2024-11-20 15:44:47-07:00,1,Topher is tall,Absolute garbage,"If you’re looking to waste some money, here’s an app that charges you 43 dollars a month for limited functionality. But wait, there’s more. You can also pay 5 bucks per batch of headshots. Most of which will be unusable. 

The people that developed this are stealing money."
2024-11-17 17:22:09-07:00,1,Perpetual nightmare,Hoax!,"I thought I was buying all these wonderful tools. However, every time I try to use a tool, it’s another upcharge. I truly would like a refund."
2024-11-16 16:49:24-07:00,1,bold kam,Ripped off,"I purchased YouCam Perfect the beginning of 2024. I purchased the $99 lifetime deal.  Well, it doesn’t show that I even have access to what I paid for.  YouCam said to contact Apple, and Apple said to contact YouCam.  I’m sure this doesn’t happen to everyone, but it happened to me. So now I’m out $99 with no access.  If I could give this a zero star, I would.  Buyer beware!"
